DATA LEVEL,PUBLIC OR INDEPENDENT,DISTRICT NUMBER,Educators CATEGORY,GENDER,SCHOOL YEAR,Educators CNT,FULLTIME Educators CNT,PARTIME Educators CNT,TOTAL FTE,BASE SALARY,TOTAL SALARY,AVERAGE EXPERIENCE,AVERAGE AGE,CERT STANDARD,CERT PROFESSIONAL,CERT CERTIFICATE BASIC,CERT LETTER PERMISSION,EXPERIENCE LESS THAN YR,EXPERIENCE 1 TO 4 YR,EXPERIENCE 5 TO 9 YR,EXPERIENCE 10 TO 19 YR,EXPERIENCE 20 OR MORE YR,AGE GRP 20 TO 24 CNT,AGE GRP 25 TO 29 CNT,AGE GRP 30 TO 34 CNT,AGE GRP 35 TO 39 CNT,AGE GRP 40 TO 44 CNT,AGE GRP 45 TO 49 CNT,AGE GRP 50 TO 54 CNT,AGE GRP 55 TO 59 CNT,AGE GRP 60 TO 64 CNT,AGE GRP 65 AND OVER CNT
DISTRICT LEVEL,BC Public School,5,Administrators,All,2001/2002,37,37,0,37,67345,79740,24.1,50.5,1,36,0,0,0,1,3,2,31,0,0,2,0,0,10,18,5,2,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2002/2003,33,33,0,33,69918,83330,23.3,49.7,1,32,0,0,0,0,5,1,27,0,1,1,1,0,9,18,2,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2003/2004,31,31,0,31,70703,84540,23.8,50.6,1,30,0,0,0,0,4,3,24,0,1,1,1,0,5,17,5,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2004/2005,28,28,0,28,71918,86528,24,51.3,1,27,0,0,0,0,4,4,20,0,0,1,2,0,4,14,5,2,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2005/2006,34,34,0,34,70673,84143,23.4,50.4,1,33,0,0,0,0,5,5,24,0,0,2,3,2,4,8,13,2,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2006/2007,36,36,0,36,85116,85229,20.5,47.9,1,35,0,0,1,0,3,13,19,0,0,3,6,3,5,7,11,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2007/2008,34,34,0,34,88293,88293,19.8,47.7,1,33,0,0,1,1,2,14,16,0,0,3,5,5,5,6,10,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2008/2009,33,32,1,32.1,92752,92752,19.9,48.3,1,32,0,0,0,3,0,14,16,0,0,0,5,7,4,10,5,2,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2009/2010,32,32,0,32,97298,97298,20.4,48.8,1,31,0,0,0,2,0,13,17,0,0,0,4,7,5,9,6,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2010/2011,33,33,0,33,97984,97984,21,49.4,1,32,0,0,0,2,1,12,18,0,0,0,3,8,5,5,9,3,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2011/2012,32,32,0,32,98850,98850,20.7,48.6,1,31,0,0,0,1,4,11,16,0,0,1,3,8,3,6,9,2,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2012/2013,33,33,0,33,99773,99773,21.8,49.7,1,32,0,0,0,0,2,15,16,0,0,1,2,7,6,6,8,3,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2013/2014,32,32,0,32,99221,99221,20.3,49.2,2,30,0,0,0,1,3,14,14,0,0,1,2,7,6,6,8,2,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2014/2015,38,32,6,35,100071,100277,,46.9,,,,,,,,,,0,0,1,3,13,9,5,7,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2015/2016,34,34,0,34,98312,98350,,46.7,,,,,,,,,,0,0,2,4,7,10,5,5,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,All,2016/2017,31,31,,31,103161,103199,,47.5,,,,,,,,,,,,,3,8,10,3,6,1,
DISTRICT LEVEL,BC Public School,5,Educators,All,1991/1992,495,461,34,479.9,45085,45620,13.1,41.6,58,428,8,1,17,90,63,212,113,7,44,42,91,132,93,60,19,7,0
DISTRICT LEVEL,BC Public School,5,Educators,All,1992/1993,500,463,37,485.2,51857,52461,13.6,42.2,56,437,7,0,20,87,59,207,127,9,36,44,88,124,106,66,21,6,0
DISTRICT LEVEL,BC Public School,5,Educators,All,1993/1994,471,432,39,456.5,54534,55170,14.7,43.2,56,408,7,0,6,72,61,193,139,4,30,38,67,108,120,75,24,5,0
DISTRICT LEVEL,BC Public School,5,Educators,All,1994/1995,484,426,58,461.5,55187,55816,14.9,43.4,59,418,7,0,12,64,67,189,152,4,23,46,71,100,126,82,26,6,0
DISTRICT LEVEL,BC Public School,5,Educators,All,1995/1996,478,405,73,449.7,55615,56248,15.1,43.8,56,414,7,1,12,49,81,176,160,3,23,49,59,88,137,83,33,3,0
DISTRICT LEVEL,BC Public School,5,Educators,All,1996/1997,484,398,86,452.1,55864,56532,15,44,57,418,7,2,21,53,84,154,172,6,22,52,53,95,123,90,39,4,0
DISTRICT LEVEL,BC Public School,5,Educators,All,1997/1998,454,373,81,427.4,56720,57364,15.7,44.6,51,394,7,2,5,56,73,147,173,5,22,38,47,92,110,99,36,5,0
DISTRICT LEVEL,BC Public School,5,Educators,All,1998/1999,465,392,73,437.3,56898,57540,15.7,44.8,51,405,7,2,14,59,67,148,177,4,21,45,44,84,107,115,39,6,0
DISTRICT LEVEL,BC Public School,5,Educators,All,1999/2000,464,380,84,434.1,56800,58064,15.6,45,45,411,6,2,10,70,65,134,185,1,21,41,52,81,104,114,45,5,0
DISTRICT LEVEL,BC Public School,5,Educators,All,2000/2001,449,358,91,413.3,58427,59732,16.4,45.9,48,394,6,1,5,62,61,130,191,2,17,32,54,62,97,124,51,10,0
DISTRICT LEVEL,BC Public School,5,Educators,All,2001/2002,431,357,74,404.9,58885,60132,16.7,46.4,41,383,6,1,6,44,66,125,190,1,15,31,47,56,100,117,53,11,0
DISTRICT LEVEL,BC Public School,5,Educators,All,2002/2003,390,323,67,367.4,62268,63621,17.2,47,36,348,5,1,6,32,58,114,180,0,9,25,43,52,93,107,54,7,0
DISTRICT LEVEL,BC Public School,5,Educators,All,2003/2004,369,294,75,342.6,64147,65602,17.9,47.9,33,330,5,1,2,25,56,113,173,1,5,19,34,49,80,103,70,8,0
DISTRICT LEVEL,BC Public School,5,Educators,All,2004/2005,360,274,86,332.2,64083,65498,17.3,47.5,30,323,5,2,4,28,61,112,155,0,5,24,36,52,73,94,69,7,0
DISTRICT LEVEL,BC Public School,5,Educators,All,2005/2006,360,297,63,336.7,63232,64789,16.2,47.5,53,301,5,1,32,21,52,114,141,0,1,17,31,84,63,87,67,10,0
DISTRICT LEVEL,BC Public School,5,Educators,All,2006/2007,361,302,59,339,66430,66607,16,47.4,46,310,4,1,13,44,47,126,131,1,4,14,40,75,58,97,61,11,0
DISTRICT LEVEL,BC Public School,5,Educators,All,2007/2008,368,289,79,339.8,67897,68076,15.7,47.1,46,315,5,2,11,56,46,124,131,3,10,18,39,74,56,93,64,11,0
DISTRICT LEVEL,BC Public School,5,Educators,All,2008/2009,363,289,74,338.6,70496,71416,15.5,46.4,40,318,4,1,11,62,44,117,129,3,21,22,35,71,52,79,65,14,1
DISTRICT LEVEL,BC Public School,5,Educators,All,2009/2010,359,295,64,335.1,73192,74134,15.6,46.8,37,317,4,1,8,60,50,114,127,3,19,22,29,61,61,81,62,20,1
DISTRICT LEVEL,BC Public School,5,Educators,All,2010/2011,354,284,70,328.6,75242,76185,15.5,46.8,36,313,4,1,7,63,49,112,123,2,19,25,31,44,80,65,66,19,3
DISTRICT LEVEL,BC Public School,5,Educators,All,2011/2012,355,287,68,330.3,74691,75510,15.3,46.6,33,315,6,1,11,61,58,104,121,1,18,34,32,48,71,58,71,16,6
DISTRICT LEVEL,BC Public School,5,Educators,All,2012/2013,354,294,60,334.2,74711,75657,15.1,46.8,34,313,5,2,10,61,60,107,116,1,15,36,36,50,66,54,71,21,4
DISTRICT LEVEL,BC Public School,5,Educators,All,2013/2014,350,283,67,324.7,73368,74328,13.4,44.9,31,311,6,2,10,88,60,95,97,0,30,40,43,47,65,52,54,16,3
DISTRICT LEVEL,BC Public School,5,Educators,All,2014/2015,357,282,75,327.6,74247,75202,,44.4,,,,,,,,,,2,26,48,45,52,58,59,52,11,4
DISTRICT LEVEL,BC Public School,5,Educators,All,2015/2016,356,282,74,326.8,74554,75514,,44.3,,,,,,,,,,1,25,45,56,49,52,63,45,16,4
DISTRICT LEVEL,BC Public School,5,Educators,All,2016/2017,366,282,84,334.1,75305,76257,,44.4,,,,,,,,,,3,25,47,51,59,55,58,43,21,4
DISTRICT LEVEL,BC Public School,5,Teachers,All,1991/1992,447,413,34,431.9,43484,43597,12.4,41.1,58,380,8,1,17,89,61,190,90,7,44,41,89,112,81,50,16,7,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,1992/1993,452,415,37,437.2,50365,50487,12.9,41.7,56,389,7,0,20,86,58,188,100,9,36,44,85,108,91,56,17,6,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,1993/1994,424,385,39,409.5,53103,53227,13.9,42.6,56,361,7,0,6,71,60,178,109,4,30,38,64,97,104,65,18,4,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,1994/1995,438,380,58,415.5,53840,53961,14.1,42.9,59,372,7,0,12,63,66,176,121,4,23,46,68,90,112,70,21,4,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,1995/1996,436,363,73,407.7,54365,54499,14.4,43.3,55,373,7,1,12,49,80,168,127,3,23,49,58,83,120,71,26,3,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,1996/1997,441,355,86,409.1,54575,54702,14.2,43.5,56,376,7,2,21,53,83,145,139,6,22,52,52,89,106,79,31,4,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,1997/1998,410,329,81,383.4,55302,55419,15,44.2,50,351,7,2,4,56,72,139,139,5,22,38,47,83,94,85,32,4,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,1998/1999,422,349,73,394.3,55543,55631,14.9,44.3,50,363,7,2,14,58,66,140,144,4,21,45,44,76,93,101,33,5,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,1999/2000,424,340,84,394.1,55886,56089,14.8,44.5,44,372,6,2,10,69,65,129,151,1,21,41,52,79,85,103,38,4,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,2000/2001,410,319,91,374.3,57582,57759,15.8,45.6,47,356,6,1,5,59,60,124,162,2,17,30,53,61,86,105,47,9,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,2001/2002,394,320,74,367.9,58034,58160,16.1,46,40,347,6,1,6,43,63,123,159,1,15,29,47,56,90,99,48,9,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,2002/2003,357,290,67,334.4,61513,61677,16.7,46.7,35,316,5,1,6,32,53,113,153,0,8,24,42,52,84,89,52,6,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,2003/2004,338,263,75,311.6,63495,63718,17.3,47.6,32,300,5,1,2,25,52,110,149,1,4,18,33,49,75,86,65,7,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,2004/2005,332,246,86,304.2,63362,63563,16.7,47.1,29,296,5,2,4,28,57,108,135,0,5,23,34,52,69,80,64,5,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,2005/2006,326,263,63,302.7,62397,62615,15.5,47.2,52,268,5,1,32,21,47,109,117,0,1,15,28,82,59,79,54,8,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,2006/2007,325,266,59,303,64210,64395,15.5,47.4,45,275,4,1,12,44,44,113,112,1,4,11,34,72,53,90,50,10,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,2007/2008,334,255,79,305.8,65629,65827,15.3,47.1,45,282,5,2,10,55,44,110,115,3,10,15,34,69,51,87,54,11,0
DISTRICT LEVEL,BC Public School,5,Teachers,All,2008/2009,330,257,73,306.5,68165,69181,15,46.2,39,286,4,1,11,59,44,103,113,3,21,22,30,64,48,69,60,12,1
DISTRICT LEVEL,BC Public School,5,Teachers,All,2009/2010,327,263,64,303.1,70647,71689,15.2,46.7,36,286,4,1,8,58,50,101,110,3,19,22,25,54,56,72,56,19,1
DISTRICT LEVEL,BC Public School,5,Teachers,All,2010/2011,321,251,70,295.6,72702,73751,14.9,46.6,35,281,4,1,7,61,48,100,105,2,19,25,28,36,75,60,57,16,3
DISTRICT LEVEL,BC Public School,5,Teachers,All,2011/2012,323,255,68,298.3,72099,73006,14.7,46.4,32,284,6,1,11,60,54,93,105,1,18,33,29,40,68,52,62,14,6
DISTRICT LEVEL,BC Public School,5,Teachers,All,2012/2013,321,261,60,301.2,71965,73015,14.4,46.5,33,281,5,2,10,61,58,92,100,1,15,35,34,43,60,48,63,18,4
DISTRICT LEVEL,BC Public School,5,Teachers,All,2013/2014,318,251,67,292.7,70542,71606,12.7,44.5,29,281,6,2,10,87,57,81,83,0,30,39,41,40,59,46,46,14,3
DISTRICT LEVEL,BC Public School,5,Teachers,All,2014/2015,319,250,69,292.6,71170,72215,,44.1,,,,,,,,,,2,26,47,42,39,49,54,45,11,4
DISTRICT LEVEL,BC Public School,5,Teachers,All,2015/2016,322,248,74,292.8,72045,73103,,44.1,,,,,,,,,,1,25,43,52,42,42,58,40,15,4
DISTRICT LEVEL,BC Public School,5,Teachers,All,2016/2017,335,251,84,303.1,72728,73763,,44.1,,,,,,,,,,3,25,47,48,51,45,55,37,20,4
DISTRICT LEVEL,BC Public School,5,Administrators,Female,1991/1992,12,12,0,12,58051,60601,15.7,43.2,0,12,0,0,0,1,1,7,3,0,0,1,1,6,3,,1,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,1992/1993,13,13,0,13,63815,66746,17,44,0,13,0,0,0,1,1,7,4,0,0,0,2,6,3,1,1,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,1993/1994,12,12,0,12,65603,68575,17.9,45.3,0,12,0,0,0,1,1,5,5,0,0,0,2,4,4,1,1,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,1994/1995,12,12,0,12,66538,69510,18.9,46.3,0,12,0,0,0,1,1,3,7,0,0,0,2,3,5,1,0,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,1995/1996,12,12,0,12,68696,71272,18.8,46.7,1,11,0,0,0,0,1,4,7,0,0,0,1,1,7,3,0,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,1996/1997,14,14,0,14,67057,71177,20.6,46.9,1,13,0,0,0,0,1,5,8,0,0,0,1,3,6,3,1,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,1997/1998,15,15,0,15,67833,70535,21.7,48.1,1,14,0,0,0,0,1,3,11,0,0,0,0,4,5,4,2,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,1998/1999,15,15,0,15,69623,72325,22.7,49.1,1,14,0,0,0,0,1,3,11,0,0,0,0,4,4,5,2,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,1999/2000,11,11,0,11,67384,76583,24.2,50.4,1,10,0,0,0,0,0,1,10,0,0,0,0,0,5,5,1,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2000/2001,13,13,0,13,66410,76607,22.1,48.8,1,12,0,0,0,1,0,3,9,0,0,1,1,0,2,8,1,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2001/2002,10,10,0,10,68279,78853,23.5,50.2,1,9,0,0,0,0,1,1,8,0,0,1,0,0,2,5,1,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2002/2003,9,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2003/2004,7,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2004/2005,6,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2005/2006,11,11,0,11,71885,82480,23.4,50.1,1,10,0,0,0,0,1,2,8,0,0,0,2,1,2,1,4,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2006/2007,11,11,0,11,82847,82847,21.8,48.4,0,11,0,0,0,0,0,5,6,0,0,0,2,1,2,3,3,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2007/2008,11,11,0,11,87748,87748,19.9,47.6,0,11,0,0,1,0,0,5,5,0,0,0,1,3,2,3,2,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2008/2009,13,12,1,12.1,97772,97772,20.9,48.8,0,13,0,0,0,1,0,5,7,0,0,0,1,4,1,5,1,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2009/2010,13,13,0,13,97106,97106,21.9,50.2,0,13,0,0,0,1,0,3,9,0,0,0,1,3,2,4,2,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2010/2011,14,14,0,14,97551,97551,21.9,50.3,0,14,0,0,0,1,1,3,9,0,0,0,1,3,3,2,3,2,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2011/2012,14,14,0,14,98095,98095,22.8,49.5,0,14,0,0,0,1,2,2,9,0,0,1,0,3,1,3,5,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2012/2013,15,15,0,15,98756,98756,23.8,50,0,15,0,0,0,0,0,6,9,0,0,1,0,3,2,3,5,1,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2013/2014,13,13,0,13,97246,97246,21.2,48.2,0,13,0,0,0,0,0,6,7,0,0,1,0,3,3,3,3,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2014/2015,18,14,4,16,99593,99844,,45.9,,,,,,,,,,0,0,0,1,8,5,3,1,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2015/2016,17,17,0,17,96503,96528,,45.1,,,,,,,,,,0,0,1,2,5,5,3,1,0,0
DISTRICT LEVEL,BC Public School,5,Administrators,Female,2016/2017,17,17,,17,101611,101633,,46.6,,,,,,,,,,,,,2,5,5,2,3,,
DISTRICT LEVEL,BC Public School,5,Educators,Female,1991/1992,273,243,30,259.6,42126,42304,10.9,40.1,50,216,7,0,11,61,53,113,35,5,32,28,56,69,43,31,7,2,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,1992/1993,276,246,30,264.1,49072,49287,11.6,40.9,48,222,6,0,13,59,47,117,40,6,29,26,53,71,46,34,9,2,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,1993/1994,261,228,33,248,51729,51954,12.4,41.9,48,207,6,0,3,53,47,111,47,2,23,27,42,65,53,36,11,2,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,1994/1995,274,228,46,256.2,52909,53120,12.9,42.3,51,217,6,0,11,40,50,113,60,4,15,33,46,59,63,38,14,2,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,1995/1996,275,214,61,251.2,53861,54069,13.2,42.7,47,222,6,0,9,31,60,109,66,1,17,34,40,55,71,37,19,1,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,1996/1997,284,209,75,256.4,53981,54283,13.1,42.9,48,230,6,0,14,38,57,100,75,4,15,33,40,59,66,44,21,2,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,1997/1998,266,199,67,244,54910,55150,13.8,43.4,44,217,5,0,3,38,53,95,77,4,14,28,31,60,66,41,20,2,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,1998/1999,272,211,61,248.5,55449,55673,14.1,43.9,45,222,5,0,6,39,47,102,78,2,14,28,31,55,66,53,20,3,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,1999/2000,273,201,72,246.7,55413,55963,13.8,44.1,40,229,4,0,6,49,43,93,82,0,16,25,38,54,64,54,19,3,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,2000/2001,269,195,74,239.8,56745,57467,14.7,45.2,43,222,4,0,3,45,39,92,90,1,12,20,37,42,61,66,22,8,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,2001/2002,259,195,64,236.3,57512,58068,14.9,45.4,37,218,4,0,6,31,42,96,84,1,12,19,31,40,61,62,25,8,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,2002/2003,237,180,57,218.6,60994,61627,15.6,46.2,31,202,4,0,2,26,37,87,85,0,5,18,29,34,61,62,23,5,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,2003/2004,224,163,61,203.1,63300,63912,16.8,47.6,29,191,4,0,0,19,35,82,88,0,3,13,17,36,54,61,33,7,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,2004/2005,229,162,67,206.2,63274,63879,16.2,47.2,25,199,4,1,2,21,41,81,84,0,2,20,18,38,51,57,38,5,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,2005/2006,230,178,52,209.1,62437,63135,15.2,47.2,40,186,4,0,22,15,34,83,76,0,0,12,15,59,49,54,34,7,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,2006/2007,229,180,49,210,64885,65041,15.3,47.4,32,194,3,0,10,27,35,83,74,0,3,7,24,47,45,62,34,7,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,2007/2008,242,180,62,219.3,66374,66554,15.2,47,36,201,4,1,7,38,36,83,78,2,6,11,26,48,41,62,41,5,0
DISTRICT LEVEL,BC Public School,5,Educators,Female,2008/2009,249,189,60,228.3,68893,69854,14.8,46.3,32,214,3,0,10,46,35,74,84,2,18,12,25,43,43,56,39,10,1
DISTRICT LEVEL,BC Public School,5,Educators,Female,2009/2010,244,193,51,224.2,71775,72779,15.1,46.9,30,211,3,0,3,45,41,73,82,3,12,15,21,36,45,59,38,14,1
DISTRICT LEVEL,BC Public School,5,Educators,Female,2010/2011,245,187,58,222.4,73778,74752,14.9,46.9,29,213,3,0,7,46,35,75,82,2,13,17,22,25,58,50,43,12,3
DISTRICT LEVEL,BC Public School,5,Educators,Female,2011/2012,251,194,57,229.5,73287,74142,14.9,46.7,26,222,3,0,10,47,40,68,86,1,11,27,21,31,48,47,50,10,5
DISTRICT LEVEL,BC Public School,5,Educators,Female,2012/2013,250,201,49,233,73367,74337,14.9,47,24,222,3,1,5,50,42,69,84,1,10,27,23,34,43,42,54,12,4
DISTRICT LEVEL,BC Public School,5,Educators,Female,2013/2014,253,196,57,230.8,71262,72272,12.9,44.6,21,228,3,1,10,69,44,61,69,0,25,30,30,34,39,43,40,9,3
DISTRICT LEVEL,BC Public School,5,Educators,Female,2014/2015,258,196,62,233.2,72353,73368,,44.1,,,,,,,,,,1,24,32,34,40,35,46,38,6,2
DISTRICT LEVEL,BC Public School,5,Educators,Female,2015/2016,258,197,61,233.7,73160,74184,,44.4,,,,,,,,,,0,21,27,42,39,34,46,35,11,3
DISTRICT LEVEL,BC Public School,5,Educators,Female,2016/2017,272,202,70,244.9,73848,74834,,44.4,,,,,,,,,,2,21,31,40,46,37,42,35,14,4
DISTRICT LEVEL,BC Public School,5,Teachers,Female,1991/1992,261,231,30,247.6,41355,41417,10.7,40,50,204,7,0,11,60,52,106,32,5,32,27,55,63,40,31,6,2,0
DISTRICT LEVEL,BC Public School,5,Teachers,Female,1992/1993,263,233,30,251.1,48309,48383,11.3,40.7,48,209,6,0,13,58,46,110,36,6,29,26,51,65,43,33,8,2,0
DISTRICT LEVEL,BC Public School,5,Teachers,Female,1993/1994,249,216,33,236,51024,51109,12.1,41.7,48,195,6,0,3,52,46,106,42,2,23,27,40,61,49,35,10,2,0
DISTRICT LEVEL,BC Public School,5,Teachers,Female,1994/1995,262,216,46,244.2,52240,52315,12.7,42.1,51,205,6,0,11,39,49,110,53,4,15,33,44,56,58,37,14,1,0
DISTRICT LEVEL,BC Public School,5,Teachers,Female,1995/1996,263,202,61,239.2,53116,53206,12.9,42.5,46,211,6,0,9,31,59,105,59,1,17,34,39,54,64,34,19,1,0
DISTRICT LEVEL,BC Public School,5,Teachers,Female,1996/1997,270,195,75,242.4,53225,53308,12.7,42.7,47,217,6,0,14,38,56,95,67,4,15,33,39,56,60,41,20,2,0
DISTRICT LEVEL,BC Public School,5,Teachers,Female,1997/1998,251,184,67,229,54064,54142,13.4,43.1,43,203,5,0,3,38,52,92,66,4,14,28,31,56,61,37,18,2,0
DISTRICT LEVEL,BC Public School,5,Teachers,Female,1998/1999,257,196,61,233.5,54538,54603,13.6,43.6,44,208,5,0,6,39,46,99,67,2,14,28,31,51,62,48,18,3,0
DISTRICT LEVEL,BC Public School,5,Teachers,Female,1999/2000,262,190,72,235.7,54855,55001,13.4,43.8,39,219,4,0,6,49,43,92,72,0,16,25,38,54,59,49,18,3,0
